spend_id,campaign_id,spend_date,spend_amount
S001,C001,2026-06-05,1200.00
S002,C001,2026-06-06,1150.00
S003,C001,2026-06-07,1300.00
S004,C002,2026-06-10,2000.00
S005,C002,2026-06-11,1800.00
S006,C003,2026-06-18,600.00
S007,C003,2026-06-19,650.00
S008,C003,2026-06-20,700.00
S009,C004,2026-06-25,150.00
S010,C004,2026-06-26,140.00
S011,C005,2026-07-05,900.00
S012,C005,2026-07-06,950.00
S013,C001,2026-06-25,1250.00
S014,C001,2026-06-11,1180.00
S015,C002,2026-06-18,1900.00
S016,C003,2026-06-25,680.00
S017,C003,2026-06-28,720.00
S018,C004,2026-06-28,145.00
S019,C005,2026-07-08,980.00
S020,C005,2026-07-10,1010.00
S021,C005,2026-07-12,1020.00
