touchpoint_id,customer_id,campaign_id,touchpoint_date,channel
T001,CUST001,C001,2026-06-05,paid_search
T002,CUST001,C002,2026-06-10,social
T003,CUST002,C003,2026-06-20,display
T004,CUST003,C001,2026-06-07,paid_search
T005,CUST004,C004,2026-06-25,email
T006,CUST005,C005,2026-07-05,social
T007,CUST006,C001,2026-06-12,paid_search
T008,CUST006,C003,2026-06-18,display
T009,CUST007,C002,2026-06-15,social
T010,CUST008,C001,2026-06-09,paid_search
T011,CUST009,C004,2026-06-28,email
T012,CUST010,C005,2026-07-08,social
T013,CUST002,C001,2026-06-22,paid_search
T014,CUST003,C003,2026-06-25,display
T015,CUST001,C003,2026-06-27,display
